MODEL,MANUFACTURER,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,,,,FUEL,CO2 EMISSIONS ,,,,,,
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),CITY (mi./gal.),HWY (mi./gal.),(L) / YEAR,(kg) / YEAR,,,,,,
2004,ACURA,1.7EL,COMPACT,1.7,4,A4,X,7.9,6.0,36,47,1409,3241,,,,,,
2004,ACURA,1.7EL,COMPACT,1.7,4,M5,X,7.8,6.1,36,46,1407,3236,,,,,,
2004,ACURA,3.2TL,MID-SIZE,3.2,6,AS5,Z,11.6,7.6,24,37,1960,4508,,,,,,
2004,ACURA,3.2TL,MID-SIZE,3.2,6,M6,Z,11.7,7.7,24,37,1980,4554,,,,,,
2004,ACURA,3.5RL,MID-SIZE,3.5,6,A4,Z,13.0,9.1,22,31,2249,5173,,,,,,
2004,ACURA,MDX,SPECIAL PURPOSE,3.5,6,A5,Z,14.1,9.4,20,30,2397,5513,,,,,,
2004,ACURA,NSX,TWO-SEATER,3.2,6,M6,Z,13.5,8.9,21,32,2286,5258,,,,,,
2004,ACURA,RSX,SUBCOMPACT,2.0,4,AS5,X,9.3,6.4,30,44,1599,3678,,,,,,
2004,ACURA,RSX,SUBCOMPACT,2.0,4,M5,X,8.7,6.5,32,43,1542,3547,,,,,,
2004,ACURA,RSX TYPE S,SUBCOMPACT,2.0,4,M6,Z,9.7,6.9,29,41,1688,3882,,,,,,
2004,ACURA,TSX,COMPACT,2.4,4,AS5,Z,10.3,6.8,27,42,1745,4014,,,,,,
2004,ACURA,TSX,COMPACT,2.4,4,M6,Z,10.9,7.4,26,38,1865,4290,,,,,,
2004,AUDI,A4,COMPACT,1.8,4,AV,Z,10.2,7.3,28,39,1779,4092,,,,,,
2004,AUDI,A4 AVANT,STATION WAGON,1.8,4,AV,Z,10.2,7.3,28,39,1779,4092,,,,,,
2004,AUDI,A4 AVANT QUATTRO,STATION WAGON,1.8,4,AS5,Z,11.7,7.6,24,37,1971,4533,,,,,,
2004,AUDI,A4 AVANT QUATTRO,STATION WAGON,1.8,4,M6,Z,11.1,7.1,25,40,1860,4278,,,,,,
2004,AUDI,A4 AVANT QUATTRO,STATION WAGON,3.0,6,AS5,Z,12.8,8.4,22,34,2164,4977,,,,,,
2004,AUDI,A4 AVANT QUATTRO,STATION WAGON,3.0,6,M6,Z,13.5,8.7,21,32,2268,5216,,,,,,
2004,AUDI,A4 CABRIOLET,SUBCOMPACT,1.8,4,AV,Z,10.2,7.2,28,39,1770,4071,,,,,,
2004,AUDI,A4 CABRIOLET,SUBCOMPACT,3.0,6,AV,Z,11.5,8.1,25,35,1994,4586,,,,,,
2004,AUDI,A4 CABRIOLET QUATTRO,SUBCOMPACT,3.0,6,AS5,Z,12.8,8.4,22,34,2164,4977,,,,,,
2004,AUDI,A4 QUATTRO,COMPACT,1.8,4,AS5,Z,11.7,7.6,24,37,1971,4533,,,,,,
2004,AUDI,A4 QUATTRO,COMPACT,1.8,4,M6,Z,11.2,7.2,25,39,1880,4324,,,,,,
2004,AUDI,A4 QUATTRO,COMPACT,3.0,6,AS5,Z,12.8,8.4,22,34,2164,4977,,,,,,
2004,AUDI,A4 QUATTRO,COMPACT,3.0,6,M6,Z,13.5,8.7,21,32,2268,5216,,,,,,
2004,AUDI,A6,MID-SIZE,3.0,6,AV,Z,11.5,8.1,25,35,1994,4586,,,,,,
2004,AUDI,A6 QUATTRO,MID-SIZE,2.7,6,AS5,Z,13.1,8.6,22,33,2215,5095,,,,,,
2004,AUDI,A6 QUATTRO,MID-SIZE,2.7,6,M6,Z,13.1,8.5,22,33,2206,5074,,,,,,
2004,AUDI,A6 QUATTRO,MID-SIZE,3.0,6,AS5,Z,12.8,8.4,22,34,2164,4977,,,,,,
2004,AUDI,A6 QUATTRO,MID-SIZE,4.2,8,AS5,Z,13.7,8.9,21,32,2308,5308,,,,,,
2004,AUDI,A8L,FULL-SIZE,4.2,8,AS6,Z,13.5,8.9,21,32,2286,5258,,,,,,
2004,AUDI,ALLROAD QUATTRO,SPECIAL PURPOSE,2.7,6,AS5,Z,14.3,9.8,20,29,2455,5647,,,,,,
2004,AUDI,ALLROAD QUATTRO,SPECIAL PURPOSE,2.7,6,M6,Z,14.8,9.4,19,30,2474,5690,,,,,,
2004,AUDI,S4,COMPACT,4.2,8,AS6,Z,13.4,9.1,21,31,2293,5274,,,,,,
2004,AUDI,S4,COMPACT,4.2,8,M6,Z,15.8,10.2,18,28,2656,6109,,,,,,
2004,AUDI,S4 AVANT,STATION WAGON,4.2,8,AS6,Z,13.4,9.1,21,31,2293,5274,,,,,,
2004,AUDI,S4 AVANT,STATION WAGON,4.2,8,M6,Z,15.8,10.2,18,28,2656,6109,,,,,,
2004,AUDI,S4 CABRIOLET,SUBCOMPACT,4.2,8,AS6,Z,13.3,9.3,21,30,2300,5290,,,,,,
2004,AUDI,S4 CABRIOLET,SUBCOMPACT,4.2,8,M6,Z,15.8,10.2,18,28,2656,6109,,,,,,
2004,AUDI,TT COUPE,SUBCOMPACT,1.8,4,AS6,Z,11.3,7.5,25,38,1918,4411,,,,,,
2004,AUDI,TT COUPE QUATTRO,SUBCOMPACT,1.8,4,M6,Z,11.7,7.6,24,37,1971,4533,,,,,,
2004,AUDI,TT COUPE QUATTRO,SUBCOMPACT,3.2,6,AS6,Z,10.6,8.1,27,35,1895,4359,,,,,,
2004,AUDI,TT ROADSTER,TWO-SEATER,1.8,4,AS6,Z,11.9,7.6,24,37,1993,4584,,,,,,
2004,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,1.8,4,M6,Z,11.7,7.6,24,37,1971,4533,,,,,,
2004,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,3.2,6,AS6,Z,10.9,8.1,26,35,1928,4434,,,,,,
2004,BENTLEY,ARNAGE,MID-SIZE,6.7,8,A4,Z,22.9,14.9,12,19,3860,8878,,,,,,
2004,BENTLEY,ARNAGE LWB,FULL-SIZE,6.7,8,A4,Z,22.9,14.9,12,19,3860,8878,,,,,,
2004,BMW,320i,COMPACT,2.2,6,A5,Z,11.6,7.4,24,38,1942,4467,,,,,,
2004,BMW,320i,COMPACT,2.2,6,M5,Z,11.3,7.2,25,39,1891,4349,,,,,,
2004,BMW,325Ci,SUBCOMPACT,2.5,6,A5,Z,12.3,8.0,23,35,2073,4768,,,,,,
2004,BMW,325Ci,SUBCOMPACT,2.5,6,AM6,Z,10.6,6.8,27,42,1778,4089,,,,,,
2004,BMW,325Ci,SUBCOMPACT,2.5,6,M5,Z,11.7,7.4,24,38,1953,4492,,,,,,
2004,BMW,325Ci CONVERTIBLE,SUBCOMPACT,2.5,6,A5,Z,12.7,8.2,22,34,2135,4911,,,,,,
2004,BMW,325Ci CONVERTIBLE,SUBCOMPACT,2.5,6,AM6,Z,11.3,7.3,25,39,1900,4370,,,,,,
2004,BMW,325Ci CONVERTIBLE,SUBCOMPACT,2.5,6,M5,Z,12.6,8.0,22,35,2106,4844,,,,,,
2004,BMW,325i,COMPACT,2.5,6,A5,Z,12.3,8.0,23,35,2073,4768,,,,,,
2004,BMW,325i,COMPACT,2.5,6,AM6,Z,10.6,6.8,27,42,1778,4089,,,,,,
2004,BMW,325i,COMPACT,2.5,6,M5,Z,11.7,7.4,24,38,1953,4492,,,,,,
2004,BMW,325i TOURING,STATION WAGON,2.5,6,A5,Z,12.3,8.0,23,35,2073,4768,,,,,,
2004,BMW,325i TOURING,STATION WAGON,2.5,6,AM6,Z,10.6,6.8,27,42,1778,4089,,,,,,
2004,BMW,325i TOURING,STATION WAGON,2.5,6,M5,Z,11.7,7.4,24,38,1953,4492,,,,,,
2004,BMW,325xi,COMPACT,2.5,6,A5,Z,12.2,8.4,23,34,2098,4825,,,,,,
2004,BMW,325xi,COMPACT,2.5,6,M5,Z,12.1,8.0,23,35,2051,4717,,,,,,
2004,BMW,325xi TOURING,STATION WAGON,2.5,6,A5,Z,12.2,8.4,23,34,2098,4825,,,,,,
2004,BMW,325xi TOURING,STATION WAGON,2.5,6,M5,Z,12.4,8.2,23,34,2102,4835,,,,,,
2004,BMW,330Ci,SUBCOMPACT,3.0,6,A5,Z,12.2,8.0,23,35,2062,4743,,,,,,
2004,BMW,330Ci,SUBCOMPACT,3.0,6,AM6,Z,11.5,7.3,25,39,1922,4421,,,,,,
2004,BMW,330Ci,SUBCOMPACT,3.0,6,M6,Z,11.7,7.2,24,39,1935,4451,,,,,,
2004,BMW,330Ci CONVERTIBLE,SUBCOMPACT,3.0,6,A5,Z,12.8,8.5,22,33,2173,4998,,,,,,
2004,BMW,330Ci CONVERTIBLE,SUBCOMPACT,3.0,6,AM6,Z,11.8,7.5,24,38,1973,4538,,,,,,
2004,BMW,330Ci CONVERTIBLE,SUBCOMPACT,3.0,6,M6,Z,12.1,7.6,23,37,2015,4635,,,,,,
2004,BMW,330i,COMPACT,3.0,6,A5,Z,12.2,8.0,23,35,2062,4743,,,,,,
2004,BMW,330i,COMPACT,3.0,6,AM6,Z,11.5,7.3,25,39,1922,4421,,,,,,
2004,BMW,330i,COMPACT,3.0,6,M6,Z,11.7,7.2,24,39,1935,4451,,,,,,
2004,BMW,330xi,COMPACT,3.0,6,A5,Z,13.0,8.6,22,33,2204,5069,,,,,,
2004,BMW,330xi,COMPACT,3.0,6,M6,Z,11.8,7.4,24,38,1964,4517,,,,,,
2004,BMW,525i,MID-SIZE,2.5,6,A6,Z,12.5,7.6,23,37,2059,4736,,,,,,
2004,BMW,525i,MID-SIZE,2.5,6,M6,Z,11.7,7.4,24,38,1953,4492,,,,,,
2004,BMW,530i,MID-SIZE,3.0,6,A6,Z,12.9,7.8,22,36,2121,4878,,,,,,
2004,BMW,530i,MID-SIZE,3.0,6,AM6,Z,11.5,7.3,25,39,1922,4421,,,,,,
2004,BMW,530i,MID-SIZE,3.0,6,M6,Z,11.7,7.2,24,39,1935,4451,,,,,,
