MODEL,MANUFACTURER,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,,,,FUEL,CO2 EMISSIONS 
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),CITY (mi./gal.),HWY (mi./gal.),(L) / YEAR,(kg) / YEAR
2010,ACURA,CSX,COMPACT,2,4,AS5,X,9.5,6.5,30,43,1620,3726
2010,ACURA,CSX,COMPACT,2,4,M5,X,8.7,6.4,32,44,1540,3542
2010,ACURA,CSX,COMPACT,2,4,M6,Z,10.2,6.8,28,42,1740,4002
2010,ACURA,MDX AWD,SPECIAL PURPOSE,3.7,6,AS6,Z,13.2,9.6,21,29,2320,5336
2010,ACURA,RDX AWD TURBO,SPECIAL PURPOSE,2.3,4,AS5,Z,11.7,8.7,24,32,2060,4738
2010,ACURA,RL AWD,MID-SIZE,3.7,6,AS5,Z,13.1,9,22,31,2240,5152
2010,ACURA,TL,MID-SIZE,3.5,6,AS5,Z,11.6,7.5,24,38,1940,4462
2010,ACURA,TL AWD,MID-SIZE,3.7,6,AS5,Z,12.3,8.1,23,35,2080,4784
2010,ACURA,TL AWD,MID-SIZE,3.7,6,M6,Z,11.9,8,24,35,2040,4692
2010,ACURA,TSX,COMPACT,2.4,4,AS5,Z,9.6,6.5,29,43,1640,3772
2010,ACURA,TSX,COMPACT,2.4,4,M6,Z,10.5,7,27,40,1780,4094
2010,ACURA,TSX,COMPACT,3.5,6,AS5,Z,11.3,7.4,25,38,1900,4370
2010,ASTON MARTIN,DB9,SUBCOMPACT,5.9,12,AS6,Z,16.2,10.1,17,28,2700,6210
2010,ASTON MARTIN,DB9,SUBCOMPACT,5.9,12,M6,Z,18.9,11.7,15,24,3140,7222
2010,ASTON MARTIN,DBS,SUBCOMPACT,5.9,12,AS6,Z,18.1,11.2,16,25,2980,6854
2010,ASTON MARTIN,DBS,SUBCOMPACT,5.9,12,M6,Z,19.1,12.1,15,23,3180,7314
2010,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM6,Z,15.4,9.9,18,29,2580,5934
2010,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,17.4,10.8,16,26,2880,6624
2010,AUDI,A3,STATION WAGON,2,4,AS6,Z,9.4,6.9,30,41,1660,3818
2010,AUDI,A3,STATION WAGON,2,4,M6,Z,10.4,6.7,27,42,1740,4002
2010,AUDI,A3 QUATTRO,STATION WAGON,2,4,AS6,Z,9.6,7.5,29,38,1720,3956
2010,AUDI,A3 TDI,STATION WAGON,2,4,AS6,D,6.7,4.6,42,61,1160,3132
2010,AUDI,A4,COMPACT,2,4,AV,Z,8.9,6.5,32,43,1560,3588
2010,AUDI,A4 AVANT QUATTRO,STATION WAGON,2,4,AS6,Z,10.1,7.3,28,39,1780,4094
2010,AUDI,A4 QUATTRO,COMPACT,2,4,AS6,Z,10.1,7.3,28,39,1780,4094
2010,AUDI,A4 QUATTRO,COMPACT,2,4,M6,Z,9.4,6.5,30,43,1620,3726
2010,AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2,4,AS6,Z,10.1,7.5,28,38,1780,4094
2010,AUDI,A5 COUPE,SUBCOMPACT,2,4,AS6,Z,10.1,7.3,28,39,1780,4094
2010,AUDI,A5 COUPE,SUBCOMPACT,2,4,M6,Z,9.4,6.5,30,43,1620,3726
2010,AUDI,A5 COUPE,SUBCOMPACT,3.2,6,AS6,Z,11.6,7.6,24,37,1960,4508
2010,AUDI,A6,MID-SIZE,3.2,6,AV,Z,11.4,7.1,25,40,1900,4370
2010,AUDI,A6 AVANT QUATTRO,STATION WAGON,3,6,AS6,Z,12,8,24,35,2040,4692
2010,AUDI,A6 QUATTRO,MID-SIZE,3,6,AS6,Z,12,8,24,35,2040,4692
2010,AUDI,A6 QUATTRO,MID-SIZE,4.2,8,AS6,Z,13.1,8.7,22,32,2220,5106
2010,AUDI,A8,MID-SIZE,4.2,8,AS6,Z,13.1,8.7,22,32,2220,5106
2010,AUDI,A8 L,FULL-SIZE,4.2,8,AS6,Z,13.1,8.7,22,32,2220,5106
2010,AUDI,Q5,SPECIAL PURPOSE,3.2,6,AS6,Z,11.5,9,25,31,2080,4784
2010,AUDI,Q7,SPECIAL PURPOSE,3.6,6,AS6,Z,14.8,10.4,19,27,2560,5888
2010,AUDI,Q7,SPECIAL PURPOSE,4.2,8,AS6,Z,16.1,11.2,18,25,2780,6394
2010,AUDI,Q7 TDI,SPECIAL PURPOSE,3,6,AS6,D,13.2,8.3,21,34,2200,5940
